customer_id,customer_age,monthly_recharge,call_minutes,sms_count,support_calls,internet_speed_mbps,roaming_usage_gb,tenure_months,device_type,plan_type,network_type,region,payment_method,monthly_data_usage
1,63.0,1586.0,179.0,527,12,200,10.055381590137308,7,Other,Prepaid,4G,West,UPI,95.86557159783112
2,20.0,2305.0,832.0,432,14,40,7.234528659614316,82,iOS,Postpaid,3G,North,Cash,49.234637159151866
3,41.0,116.0,1898.0,281,10,10,12.664141694692766,12,Android,Prepaid,5G,North,UPI,54.42236495975541
4,19.0,,956.0,274,10,100,4.921212786677111,97,Other,Prepaid,3G,West,Cash,78.66719641649317
5,35.0,1469.0,1359.0,131,0,40,12.686570615963188,28,iOS,Postpaid,3G,South,Card,45.16244791516184
6,39.0,1286.0,1184.0,343,3,20,13.677142534095566,73,iOS,Prepaid,5G,South,UPI,33.315034804399204
7,55.0,1838.0,1894.0,359,8,40,12.62489227807498,109,iOS,Prepaid,5G,West,UPI,75.9837515579282
8,44.0,1245.0,1045.0,64,3,100,4.892212206749306,29,iOS,Prepaid,4G,North,Cash,44.23181607579769
9,,793.0,410.0,351,9,40,4.518468934136671,31,Android,Prepaid,3G,South,Cash,41.110443508552066
10,39.0,1146.0,886.0,649,2,40,6.41289718937816,111,iOS,Postpaid,5G,West,Card,35.62023871121109
11,24.0,608.0,1016.0,60,5,40,11.758137298885075,82,iOS,Prepaid,3G,West,Card,32.953233196277225
12,41.0,191.0,214.0,263,1,100,9.767839761233752,26,Other,Prepaid,4G,North,Cash,42.11114106267402
13,62.0,1127.0,1296.0,476,8,200,3.81033050006371,20,Other,Postpaid,5G,North,Cash,81.10931559736599
14,58.0,305.0,,40,5,200,6.995948482975556,5,iOS,Prepaid,5G,South,Card,73.37970629215451
15,42.0,2109.0,116.0,614,9,20,3.565748564174505,88,Android,Prepaid,4G,North,Cash,12.197524358704207
16,24.0,1933.0,1183.0,460,0,20,12.16355811526927,77,Android,Prepaid,5G,West,UPI,50.677382491510805
17,55.0,1580.0,1162.0,456,14,200,13.01076589544158,83,iOS,Postpaid,5G,West,UPI,93.13832895060116
18,54.0,1592.0,247.0,631,6,20,5.161324152776683,78,Android,Prepaid,4G,North,UPI,29.64871193511734
19,20.0,1282.0,1860.0,278,6,10,14.310837325005323,60,Other,Postpaid,5G,East,UPI,53.8147525618542
20,64.0,,1870.0,582,11,10,7.6254831539250665,54,Other,Prepaid,3G,North,UPI,31.813391510887012
21,23.0,2424.0,355.0,699,2,200,5.9519076445816115,106,Other,Postpaid,3G,East,Card,90.18663676285173
22,60.0,1460.0,850.0,643,6,40,0.5583725754378516,26,iOS,Prepaid,5G,West,UPI,28.626080535277893
23,16.0,1860.0,821.0,142,1,20,5.002002975561066,42,Other,Prepaid,3G,West,Cash,39.94356597570794
